feature,city,lasso_coef,ridge_coef
neighbourhood_cleansed_Sagene,Copenhagen,0.0,0.0
neighbourhood_cleansed_Sentrum,Copenhagen,0.0,0.0
neighbourhood_cleansed_St. Hanshaugen,Copenhagen,0.0,0.0
neighbourhood_cleansed_Stovner,Copenhagen,0.0,0.0
neighbourhood_cleansed_Søndre Nordstrand,Copenhagen,0.0,0.0
neighbourhood_cleansed_Ullern,Copenhagen,0.0,0.0
neighbourhood_cleansed_Valby,Copenhagen,-0.016363165034113593,-0.022027955639729143
neighbourhood_cleansed_Vanløse,Copenhagen,-0.013213580045393655,-0.01830448734731436
neighbourhood_cleansed_Vesterbro-Kongens Enghave,Copenhagen,0.0,-0.009172364873935916
neighbourhood_cleansed_Vestre Aker,Copenhagen,0.0,0.0
neighbourhood_cleansed_Østensjø,Copenhagen,0.0,0.0
neighbourhood_cleansed_Østerbro,Copenhagen,0.028736657762216018,0.02172494682774742
bathrooms_text_0 shared baths,Copenhagen,-0.005676979327036196,-0.008424925938651809
bathrooms_text_1 bath,Copenhagen,-0.0,-0.021330292795615477
bathrooms_text_1 private bath,Copenhagen,0.005671124908565644,-0.0009928784128589723
bathrooms_text_1 shared bath,Copenhagen,-0.007120453869435349,-0.0224494928690939
bathrooms_text_1.5 baths,Copenhagen,0.01787789455639504,0.005472192373868773
bathrooms_text_1.5 shared baths,Copenhagen,-0.0014552319572216444,-0.006187739683197997
bathrooms_text_2 baths,Copenhagen,0.022521014439978213,0.0074120440312593315
bathrooms_text_2 shared baths,Copenhagen,-0.0024243810334252324,-0.008286431492426414
bathrooms_text_2.5 baths,Copenhagen,0.01704432446277191,0.012459577526629349
bathrooms_text_2.5 shared baths,Copenhagen,0.0,-0.0008907367988354323
bathrooms_text_3 baths,Copenhagen,0.007345393439217691,0.004234694942108309
bathrooms_text_3 shared baths,Copenhagen,-0.0007618365848838661,-0.0030958547229332166
bathrooms_text_3.5 baths,Copenhagen,-0.006097542672313674,-0.00877917150736893
bathrooms_text_4 baths,Copenhagen,0.0001855904365951823,-0.00014793629352744293
bathrooms_text_4 shared baths,Copenhagen,-0.010976167757477425,-0.015518193503370711
bathrooms_text_4.5 baths,Copenhagen,0.0,0.0
bathrooms_text_5 baths,Copenhagen,-0.0023648795968259097,-0.004941949305928389
bathrooms_text_Half-bath,Copenhagen,-0.007034351897615108,-0.01131456036249213
bathrooms_text_Private half-bath,Copenhagen,-0.0002899486993202838,-0.0031143741927754658
bathrooms_text_Shared half-bath,Copenhagen,-0.008261652697543849,-0.012333339739532578
property_type_Entire Alternative,Copenhagen,-0.005600686831648711,-0.004899598070827138
property_type_Entire Luxury,Copenhagen,0.0,0.0027732465421090825
property_type_Entire Standard,Copenhagen,0.0,0.00031805543565136224
property_type_Hotel,Copenhagen,-0.0,-0.010477982708489802
property_type_Private Standard,Copenhagen,0.00037855809765929214,0.0007789521767504738
property_category_Hotel,Copenhagen,-0.0,-0.010477982708489948
property_category_Luxury,Copenhagen,0.0,0.002773246542109417
property_category_Special,Copenhagen,-0.0025084962351306877,-0.003334576308703325
property_category_Standard,Copenhagen,0.0,0.00034834845836556215
