,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
31341,within a few hours,100%,78%,f,1.0,1.0,f,Østensjø,59.87866529999999,10.8378819,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1000.0,2,40.0,2.0,4.0,40.0,40.0,2.2,40.0,t,20.0,36.0,66.0,101.0,4.0,4.0,0.0,70,0.0,24.0,24000.0,5.0,5.0,5.0,5.0,5.0,4.75,5.0,f,1.0,1.0,0.0,0.0,6.18,Oslo,Entire Standard,Entire,Standard
31342,within a few hours,100%,71%,t,1.0,1.0,t,Frogner,59.91138622881452,10.712764644180286,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1982.0,2,14.0,2.0,2.0,14.0,14.0,2.0,14.0,t,29.0,59.0,85.0,337.0,18.0,18.0,2.0,85,4.0,108.0,214056.0,4.94,5.0,5.0,4.94,4.94,4.72,4.83,f,1.0,1.0,0.0,0.0,2.22,Oslo,Entire Standard,Entire,Standard
31345,within a few hours,100%,94%,f,1.0,1.0,t,Grünerløkka,59.92236106450508,10.795925325963214,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1174.0,2,16.0,2.0,2.0,16.0,16.0,2.0,16.0,t,19.0,19.0,19.0,258.0,13.0,13.0,1.0,19,1.0,78.0,91572.0,4.77,4.69,4.77,4.92,5.0,4.77,4.69,f,1.0,1.0,0.0,0.0,2.61,Oslo,Entire Standard,Entire,Standard
31347,within an hour,100%,94%,t,1.0,1.0,t,Grünerløkka,59.932846644634786,10.79532152528562,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,1.0,1018.0,2,4.0,2.0,2.0,4.0,4.0,2.0,4.0,t,2.0,2.0,2.0,2.0,13.0,13.0,0.0,2,1.0,78.0,79404.0,5.0,4.92,4.85,5.0,5.0,4.92,4.92,f,1.0,1.0,0.0,0.0,3.2,Oslo,Entire Standard,Entire,Standard
31348,within an hour,100%,100%,f,1.0,1.0,f,Sagene,59.93566,10.76474,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2000.0,3,14.0,3.0,3.0,14.0,14.0,3.0,14.0,t,27.0,57.0,87.0,362.0,1.0,1.0,0.0,91,0.0,6.0,12000.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1.0,1.0,0.0,0.0,2.52,Oslo,Entire Standard,Entire,Standard
31349,within a few hours,100%,100%,f,1.0,1.0,t,Grünerløkka,59.92377425383565,10.760385606254236,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,2582.0,3,365.0,3.0,3.0,365.0,365.0,3.0,365.0,t,30.0,60.0,90.0,365.0,1.0,1.0,0.0,94,0.0,6.0,15492.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,f,1.0,1.0,0.0,0.0,1.19,Oslo,Entire Standard,Entire,Standard
31350,within an hour,100%,100%,t,1.0,1.0,t,Frogner,59.90757149999999,10.7201836,Entire Standard,Entire home/apt,6.0,2.0,2 baths,3.0,3.0,2800.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,21.0,51.0,75.0,319.0,17.0,17.0,1.0,77,0.0,102.0,285600.0,5.0,4.94,4.94,4.94,5.0,4.94,4.76,t,1.0,1.0,0.0,0.0,1.92,Oslo,Entire Standard,Entire,Standard
31351,within an hour,100%,63%,f,2.0,2.0,t,Østensjø,59.894023278545326,10.84023995606302,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,950.0,2,14.0,2.0,2.0,14.0,14.0,2.0,14.0,t,4.0,29.0,59.0,149.0,3.0,3.0,1.0,63,0.0,18.0,17100.0,5.0,5.0,4.67,4.67,4.67,4.33,4.67,f,1.0,1.0,0.0,0.0,5.38,Oslo,Entire Standard,Entire,Standard
31354,within an hour,100%,100%,t,2.0,2.0,t,Grünerløkka,59.92858620000001,10.7885869,Hotel,Private room,1.0,3.0,3 baths,3.0,2.0,628.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,24.0,54.0,84.0,359.0,16.0,16.0,2.0,88,1.0,96.0,60288.0,5.0,5.0,5.0,4.94,5.0,4.94,5.0,f,2.0,1.0,1.0,0.0,2.6,Oslo,Hotel,Hotel,Hotel
31355,within a few hours,100%,98%,t,3.0,3.0,t,Gamle Oslo,59.90334,10.75745,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,3.0,4016.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,0.0,0.0,20.0,192.0,16.0,16.0,0.0,22,1.0,96.0,385536.0,5.0,4.88,4.75,4.81,4.94,4.88,4.75,t,3.0,3.0,0.0,0.0,1.21,Oslo,Entire Standard,Entire,Standard
