,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
1242,within an hour,100%,99%,t,1.0,3.0,t,Nørrebro,55.6895,12.56288,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,619.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,2.0,5.0,11.0,152.0,338.0,49.0,4.0,94,36.0,255.0,157845.0,4.85,4.88,4.76,4.94,4.93,4.95,4.78,t,1.0,0.0,1.0,0.0,1.53,Copenhagen,Hotel,Hotel,Hotel,1
1245,within a few hours,100%,30%,f,1.0,1.0,t,Amager Vest,55.63856,12.59889,Entire Luxury,Entire home/apt,5.0,1.5,1.5 baths,1.0,3.0,1615.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,25.0,46.0,74.0,349.0,10.0,0.0,0.0,172,0.0,0.0,0.0,5.0,4.9,4.6,5.0,5.0,4.9,4.8,f,1.0,1.0,0.0,0.0,4.59,Copenhagen,Entire Luxury,Entire,Luxury,1
1248,within a few hours,100%,25%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,55.66586,12.5513,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,950.0,8,1125.0,8.0,8.0,1125.0,1125.0,8.0,1125.0,t,0.0,1.0,1.0,153.0,16.0,3.0,0.0,1,3.0,48.0,45600.0,4.81,4.88,5.0,5.0,4.88,4.94,4.75,f,1.0,1.0,0.0,0.0,1.56,Copenhagen,Entire Standard,Entire,Standard,1
1250,within a day,86%,27%,f,1.0,1.0,t,Bispebjerg,55.70152,12.52872,Entire Standard,Entire home/apt,4.0,1.0,1 bath,1.0,1.0,890.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0.0,0.0,0.0,245.0,60.0,1.0,0.0,67,3.0,6.0,5340.0,4.43,4.35,4.18,4.65,4.68,4.23,4.25,f,1.0,1.0,0.0,0.0,3.76,Copenhagen,Entire Standard,Entire,Standard,1
1252,within an hour,100%,100%,f,1.0,1.0,t,Østerbro,55.70166,12.57876,Entire Standard,Entire home/apt,2.0,1.5,1.5 baths,1.0,1.0,900.0,2,100.0,2.0,5.0,100.0,100.0,2.1,100.0,t,5.0,5.0,5.0,5.0,9.0,2.0,0.0,5,3.0,12.0,10800.0,4.89,5.0,4.78,4.89,4.89,5.0,5.0,f,1.0,1.0,0.0,0.0,2.92,Copenhagen,Entire Standard,Entire,Standard,1
1253,within an hour,100%,78%,f,1.0,1.0,t,Nørrebro,55.69058,12.55572,Hotel,Private room,2.0,1.0,1 shared bath,2.0,1.0,468.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0.0,0.0,0.0,146.0,113.0,6.0,0.0,0,3.0,36.0,16848.0,4.68,4.87,4.65,4.95,4.93,4.8,4.66,f,1.0,0.0,1.0,0.0,1.79,Copenhagen,Hotel,Hotel,Hotel,1
1258,within an hour,100%,90%,t,2.0,4.0,t,Indre By,55.68648,12.56644,Entire Standard,Entire home/apt,6.0,2.0,2 baths,4.0,5.0,3500.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,1.0,7.0,7.0,7.0,69.0,6.0,0.0,7,6.0,36.0,126000.0,4.9,4.95,4.71,4.92,4.95,5.0,4.78,t,1.0,1.0,0.0,0.0,1.16,Copenhagen,Entire Standard,Entire,Standard,1
1260,within an hour,100%,100%,f,1.0,1.0,t,Indre By,55.67575,12.59862,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,3897.0,2,44.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,30.0,60.0,90.0,270.0,27.0,0.0,0.0,183,1.0,0.0,0.0,4.85,4.93,4.67,4.96,4.96,4.93,4.81,f,1.0,1.0,0.0,0.0,1.9,Copenhagen,Entire Standard,Entire,Standard,1
1264,within a few hours,100%,100%,f,1.0,1.0,t,Østerbro,55.69922,12.57735,Entire Standard,Entire home/apt,6.0,1.5,1.5 baths,4.0,5.0,2200.0,5,21.0,1.0,5.0,21.0,21.0,5.0,21.0,t,5.0,5.0,5.0,200.0,11.0,0.0,0.0,22,1.0,0.0,0.0,4.91,4.73,4.91,5.0,5.0,5.0,4.82,f,1.0,1.0,0.0,0.0,2.63,Copenhagen,Entire Standard,Entire,Standard,1
1266,within an hour,100%,100%,t,1.0,1.0,t,Indre By,55.66994,12.59065,Entire Luxury,Entire home/apt,4.0,1.5,1.5 baths,1.0,2.0,857.0,3,90.0,1.0,3.0,1125.0,1125.0,3.0,1125.0,t,5.0,12.0,17.0,259.0,543.0,44.0,2.0,82,49.0,255.0,218535.0,4.9,4.94,4.82,4.9,4.91,4.97,4.82,f,1.0,1.0,0.0,0.0,1.56,Copenhagen,Entire Luxury,Entire,Luxury,1
