,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
34136,within an hour,100%,20%,f,1.0,1.0,f,Sagene,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1181.0,2,365.0,2.0,2.0,365.0,365.0,2.0,365.0,t,15.0,43.0,73.0,73.0,1.0,1.0,0.0,73,0.0,6.0,7086.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,f,1.0,1.0,0.0,0.0,2.82,Oslo,Entire Standard,Entire,Standard,1
34137,within a few hours,90%,38%,f,1.0,2.0,f,Frogner,Hotel,Private room,2.0,1.0,1 private bath,1.0,1.0,777.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,30.0,60.0,90.0,365.0,1.0,1.0,1.0,94,0.0,6.0,4662.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,f,1.0,0.0,1.0,0.0,1.73,Oslo,Hotel,Hotel,Hotel,1
34138,within an hour,100%,100%,f,1.0,2.0,f,Grünerløkka,Entire Standard,Entire home/apt,2.0,1.0,1 bath,0.0,1.0,880.0,2,30.0,2.0,2.0,30.0,30.0,2.0,30.0,t,7.0,33.0,56.0,56.0,15.0,15.0,5.0,56,0.0,90.0,79200.0,4.93,4.93,4.87,4.87,5.0,4.87,4.87,t,1.0,1.0,0.0,0.0,0.73,Oslo,Entire Standard,Entire,Standard,1
34139,within an hour,100%,85%,f,1.0,2.0,t,Grünerløkka,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1441.0,1,1125.0,2.0,3.0,1125.0,1125.0,3.0,1125.0,t,13.0,13.0,13.0,13.0,4.0,4.0,4.0,13,0.0,24.0,34584.0,5.0,5.0,5.0,4.25,5.0,4.75,4.75,f,1.0,1.0,0.0,0.0,1.72,Oslo,Entire Standard,Entire,Standard,1
34140,within a day,100%,67%,f,1.0,1.0,t,St. Hanshaugen,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1786.0,3,10.0,3.0,3.0,10.0,10.0,3.0,10.0,t,7.0,7.0,7.0,7.0,2.0,2.0,1.0,7,0.0,12.0,21432.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,f,1.0,1.0,0.0,0.0,0.57,Oslo,Entire Standard,Entire,Standard,1
34141,within an hour,97%,74%,f,4.0,10.0,f,Østensjø,Entire Standard,Entire home/apt,10.0,1.0,1 bath,3.0,5.0,2114.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,30.0,60.0,90.0,336.0,4.0,4.0,3.0,94,0.0,24.0,50736.0,4.75,4.0,4.25,4.5,4.75,4.75,4.5,f,4.0,3.0,1.0,0.0,4.91,Oslo,Entire Standard,Entire,Standard,1
34142,within a few hours,100%,86%,f,4.0,4.0,t,Grünerløkka,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,3.0,1434.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,27.0,57.0,87.0,357.0,1.0,1.0,0.0,89,0.0,6.0,8604.0,2.0,1.0,5.0,4.0,4.0,4.0,2.0,t,4.0,3.0,1.0,0.0,0.75,Oslo,Entire Standard,Entire,Standard,1
34143,within an hour,100%,75%,f,1.0,3.0,t,Gamle Oslo,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,2.0,1575.0,2,70.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,8.0,8.0,8.0,8.0,5.0,5.0,1.0,8,0.0,30.0,47250.0,4.4,4.2,4.4,4.8,4.6,4.8,4.4,t,1.0,1.0,0.0,0.0,1.03,Oslo,Entire Standard,Entire,Standard,1
34144,within an hour,100%,73%,f,5.0,12.0,t,Østensjø,Entire Standard,Entire home/apt,8.0,1.0,1 bath,3.0,5.0,2096.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,30.0,60.0,90.0,365.0,2.0,2.0,0.0,94,0.0,12.0,25152.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,5.0,4.0,1.0,0.0,4.91,Oslo,Entire Standard,Entire,Standard,1
34145,within an hour,100%,73%,f,5.0,12.0,t,Grünerløkka,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,3.0,1601.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,27.0,57.0,87.0,356.0,2.0,2.0,1.0,89,0.0,12.0,19212.0,3.0,3.5,4.5,2.0,2.5,4.5,3.5,t,5.0,4.0,1.0,0.0,0.75,Oslo,Entire Standard,Entire,Standard,1
